Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Petróleo Iluminante / Carburante;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Oliveira de Frades;0;0;92,499;656,042098;92,001572;0;6501,48912;0;0;0,884;0;7342,91579
Oliveira do Bairro;0;0;38,843;1507,406392;190,001214;0;5636,61336;0;0;8,243;0;7381,106966
Oliveira do Hospital;0;0;0,165;2075,62937;287,962402;0;7442,32608;0;0;0;0;9806,082852
Ourique;0;0;0;606,417432;49,001706;0;2521,20036;0;0;0;0;3176,619498
Ovar;0;0;360,07;3341,534674;330,129098;0;13971,99504;30,92628;0;3,866;5,569;18044,09009
Paços de Ferreira;0;0;363,221;5990,365826;843,821004;0;21134,31052;0;0;5,729;17,401;28354,84835
Palmela;0;0;275,038;5468,492574;347,447154;0;27939,9184;0;0;0,364;341,64;34372,90013
Pampilhosa da Serra;0;0;0;193,216238;62,61593;0;1305,63888;0;0;0;0;1561,471048
Paredes;0;1,12;218,21;4871,910406;795,664532;0;19523,49032;0;0;19,657;56,945;25486,99726
Paredes de Coura;0;0;0,275;403,126464;70,554796;0;1250,21568;83,88744;0;1,539;0;1809,59838
Pedrogão Grande;0;0;0;195,080492;17,673006;0;803,67504;0;0;0,885;0,199;1017,512538
Penacova;0;0;49,346;595,059582;120,908424;0;3524,45604;4,07484;0;0;0;4293,844886
Penafiel;0;2,615;121,762;4374,381372;745,637386;0;20214,71288;0;0;19,36;0,035;25478,50364
Penalva do Castelo;0;0;0;522,232078;33,307196;0;1422,55848;0;0;0;0;1978,097754
Penamacor;0;0;0;161,55376;34,670428;0;924,97356;0;0;0;0;1121,197748
Penedono;0;0;0;143,374486;55,906838;0;735,97944;0;0;0;0;935,260764
Penela;0;0;0;144,982116;36,921872;0;1855,31136;0;0;6,067;0;2043,282348
Peniche;0;0;0,055;2710,291854;153,675002;0;7788,14316;0;0;0,362;0;10652,52702
Peso da Régua;0;0;0;1228,308396;224,790774;0;4988,43072;1110,66144;0;0;1,76;7553,95133
Pinhel;0;0;0;122,860978;11,993124;0;2889,9948;665,83776;501,812545;0;0;4192,499207
Pombal;0;3,049;343,641;3386,983978;694,997238;0;34737,5018;0;0;9,839;58,251;39234,26302
Ponta Delgada;0;0;0;11326,70077;571,274132;0;43050,97188;0;0;20,026;1,496;54970,46878
Ponta do Sol;0;0;0;1509,063258;423,833956;0;3656,97444;0;0;0;0;5589,871654
Ponte da Barca;0;0;0;800,41324;100,860318;0;2541,66864;0;0;0;44,466;3487,408198
Ponte de Lima;0;0;132,711;2484,024086;426,825074;0;11552,63632;85,7766;0;56,968;141,458;14880,39908
Ponte de Sôr;0;0;0,871;1206,252906;204,434282;0;5077,64124;0;0;0;0;6489,199428
Portalegre;0;0;40,853;2024,359028;58,587308;0;9726,67116;0;0;0;0;11850,4705
Portel;0;0;0;206,368964;31,363384;0;1180,94256;0;0;0;0;1418,674908
Portimão;0;0;251,364;8762,864382;790,506418;0;24497,04464;0;0;4,863;0;34306,64244
Porto;0;0;478,075;25835,4347;1574,598908;0;66939,92732;2845,88388;0;3,643;10,794;97688,35681
Porto de Mós;0;0;220,426;1864,888846;341,315442;0;11208,18888;0;0;0;0;13634,81917
Porto Moniz;0;0;0;182,802824;49,521966;0;458,47368;0;0;0;0;690,79847
Porto Santo;0;0;0;0;727,384554;0;1120,45416;0;0;0;0;1847,838714
Póvoa de Lanhoso;0;0;0,572;461,092156;63,847212;0;1559,71368;50,6688;0;0;0;2135,893848
Póvoa de Varzim;0;0;494,51;6910,855226;429,939462;0;23856,0546;0;0;74,235;37,198;31802,79229
Povoação;0;0;0;432,697158;36,898498;0;1270,8066;0;0;0;0;1740,402256
Proença-a-Nova;0;0;0;508,68248;53,518166;0;2057,67408;0;0;0;0;2619,874726
Redondo;0;0;0;408,38651;30,716452;0;1490,30448;0;0;0;0;1929,407442
Reguengos de Monsaraz;0;0;0;708,638828;48,368346;0;2710,84792;0;0;0;0;3467,855094
Resende;0;0;1,089;796,147612;102,026002;0;2371,4796;0;0;0;0;3270,742214
Ribeira Brava;0;0;0;2389,659562;844,936924;0;12043,7268;0;0;0,367;0;15278,69029
Ribeira de Pena;0;0;0;287,994046;128,679902;0;1473,80216;0;0;0;0;1890,476108
Ribeira Grande;0;0;0;1736,95283;181,062544;0;3644,43324;0;0;0;0;5562,448614
Rio Maior;0;0;11,253;1034,322286;189,72148;0;6069,85724;8,40084;0;0,543;474,617;7788,714846
Sabrosa;0;0;0;181,354838;0;0;631,88916;0;0;0;0;813,243998
Sabugal;0;0;12,428;513,825404;115,970478;0;2564,06808;0;0;0;0;3206,291962
Salvaterra de Magos;0;0;87,491;1219,19526;93,629458;0;6434,40252;4,05888;0;0,01;0,087;7838,874118
Santa Comba Dão;0;0;24,466;729,18516;143,484692;0;3378,31368;0;0;0;0;4275,449532
Santa Cruz;0;0;0;5358,738816;1152,570432;0;11892,4554;0;0;2,753;0;18406,51765
Santa Cruz da Graciosa;0;0;0;640,86622;6,032;0;1803,33552;0;0;0;0;2450,23374
Santa Cruz das Flores;0;0;0;58,207396;0;0;87,88668;0;0;0;0;146,094076
Santa Marta de Penaguião;0;0;0;183,570458;92,238328;0;875,47572;0;0;0;0;1151,284506
Santana;0;0;0;932,126254;344,286956;0;3993,84048;0;0;0;0;5270,25369
Santarém;0;0;715,162;8927,72889;783,422534;0,173056;42124,46196;22,08948;0;8,135;0,88;52582,05292
Santiago do Cacém;0;0;0,44;2080,17624;201,292364;0;13037,12648;0;0;0,54;0;15319,57508
Santo Tirso;0;0;19,657;14495,4238;1787,949994;0;68737,1178;0;0;7,258;1,202;85048,60859
São Brás de Alportel;0;0;0;1196,946556;87,329034;0;2658,432;0;0;0;0;3942,70759
São João da Madeira;0;0;417,416;2303,754678;228,431086;0;9018,42344;0;0;0;0;11968,0252
São João da Pesqueira;0;0;0;275,767852;101,19811;0;1600,03368;0;0;0;0;1976,999642
São Pedro do Sul;0;0;0;1007,68561;189,672756;0;2797,7328;0;0;0;0;3995,091166
São Roque do Pico;0;0;0;1016,949438;36,275694;0;3492,741;0;0;0;0;4545,966132
São Vicente;0;0;0;729,277664;223,818868;0;2588,57508;0;0;0;0;3541,671612
Sardoal;0;0;0;395,000286;0;0;1208,1762;0;0;0;0;1603,176486
Sátão;0;0;20,797;485,491578;54,143232;0;1891,84212;0;0;0;0;2452,27393
Seia;0;0;0;1547,346486;137,89358;0;4919,51724;0;0;0;0;6604,757306
Seixal;0;0;654,18;15135,83048;664,095486;0;35371,57916;0;0;13,062;34,152;51872,89913
Sernancelhe;0;0;0;215,501496;39,43797;0;819,11424;0;0;0;0;1074,053706
Serpa;0;0;0;248,666418;47,299174;0;1294,97456;0;0;0;0;1590,940152
Sertã;0;0;24,71;1279,860726;134,418596;0;11557,19628;106,81776;348,703615;3,262;0;13454,96898
Sesimbra;0;0;0,165;4541,796454;227,151548;0;11123,25984;0;0;5,425;52,647;15950,44484
Setúbal;0;0;27,61;11570,20338;549,262794;0,86528;43711,78732;2733,37428;0;67,312;0,271;58660,68605
Sever do Vouga;0;0;11,565;573,28981;187,34261;0;3670,19436;0;0;0;0;4442,39178
Silves;0;9,765;1,144;5848,466182;468,936728;0;24972,15924;0;0;0,361;0;31300,83215
Sines;0;0;48,772;8560,889358;744,99347;0;41866,7592;695,5158;0;3,445;0;51920,37483
Sintra;0;0;837,928;31532,67698;1459,04747;0;87937,59132;0;0;40,899;31,582;121839,7248
Sobral de Monte Agraço;0;14,06;0;526,476072;53,897428;0;2625,20748;0;0;0;0;3219,64098
Soure;0;0;60,745;646,1106;108,409366;0;2805,58572;0;0;0;0;3620,850686
Sousel;0;0;0;314,944788;33,435376;0;1211,40936;0;0;0;0;1559,789524
Tábua;0;0;0;577,923962;110,822166;0;2046,06864;0;0;0;0;2734,814768
Tabuaço;0;0;0;28,580752;15,006108;0;171,45072;0;0;0;0;215,03758
Tarouca;0;0;0;467,36527;130,69459;0;3102,9348;0;0;0;0;3700,99466
Tavira;0;0;0;2835,196126;184,451774;0;8693,2482;0;0;0;0;11712,8961
Terras do Bouro;0;0;0;468,068002;60,45195;0;1303,19364;0;0;0;0;1831,713592
Tomar;0;0;141,761;3276,376796;311,20631;0;12035,49464;0;337,79044;1,066;0;16103,69519
Tondela;0;0;51,028;2391,987828;313,277952;0;7767,15484;0;0;0;0;10523,44862
Torre de Moncorvo;0;0;0;217,913314;72,551388;0;1469,79692;0;0;0;0;1760,261622
Torres Novas;0;0;241,973;3790,371542;289,729778;0,346112;15452,99984;4,20168;0;27,671;1,162;19808,45495
Torres Vedras;0;0;265,58;4812,21847;374,44394;0,01664;33178,57548;36,70884;0;44,926;160,879;38873,34837
Trancoso;0;0;0;435,423042;147,013412;0;2576,74704;0;0;0;0;3159,183494
Trofa;0;0;177,426;3316,89504;263,631576;0;16106,63796;0;2,11419;2,142;3,174;19872,02077
Vagos;0;0;0;1542,492264;280,36359;0;6458,7474;0;0;0;0;8281,603254
Vale de Cambra;0;0;15,36;2371,417624;248,779284;0;8775,86724;0;0;0;0;11411,42415
Valença;0;0,77;42,612;266,49358;33,651774;0;2294,607;0;0;0;13,904;2652,038354
Valongo;0;0;498,359;13508,24349;554,703474;0;38762,93264;0;0;0;11,44;53335,6786
