Município;Butano;Propano;Gás auto;Gasolina s/ chumbo 95;Gasolina s/ chumbo 95 especial;Gasolina s/ chumbo 98   ;Gasolina s/ chumbo 98 Especial;Petróleo iluminante   ;Petróleo carburante;Gasóleo;Gasóleo Especial;Gasóleo colorido;Gasóleo colorido p/ aquecimento;Biodiesel;Biodiesel B10;Biodiesel B15;Biodiesel B20;Lubrificantes;Asfaltos;Total
Montemor-o-Velho;0;0;200,046;584,37126;0;144,86775;0;0;0;3570,371649;90,184239;0;0;0;0;0;0;3,532;0;4593,372898
Montijo;0;0;172,423;46949,67486;63,40796;439,068;350,901;0;0;32284,54973;910,403226;0;0;167,714;0;0;0;3,658;0;81341,79977
Mora;0;0;0;264,05896;0;22,041;41,16075;0;0;1381,814181;72,645741;0;0;0;0;0;0;0;0;1781,720632
Mortágua;0;0;23,429;914,711248;0;134,9625;53,397;0;0;3250,315404;130,535172;0;0;0;0;0;0;0;0;4507,350324
Moura;0;0;0;854,93782;0;31,13775;42,17625;0;0;3626,623908;91,01538;0;0;4,75;0;0;0;0;0;4650,641108
Mourão;0;0;0;160,582884;0;0;10,464;0;0;817,653582;47,875563;0;0;0;0;0;0;0;0;1036,576029
Murça;0;0;0;375,307504;0;36,01275;69,117;0;0;1932,412869;28,699056;0;0;0;0;0;0;0;0;2441,549179
Murtosa;0;0;0;617,29822;0;0;83,46225;0;0;907,995177;52,626375;0;0;0;0;0;0;0;0;1661,382022
Nazaré;0;0;9,023;1346,61692;91,22234;11,50575;120,6285;0;0;3199,994127;298,876797;0;0;0;0;0;0;0,181;0;5078,048434
Nelas;0;0;0;1588,048132;26,098468;149,8695;59,88375;0;0;6069,512196;217,018197;0;0;0;0;0;0;0;0;8110,430243
Nisa;0;0;0;415,321764;0;0;44,34525;0;0,692224;1441,193472;60,896772;0;0;0;0;0;0;0;0;1962,449482
Nordeste;0;0;0;277,247696;0;20,4765;0;0;0;1661,046588;0;0;0;0;0;0;0;0;0;1958,770784
Óbidos;0;0;5,8;800,6592;0;0;112,41975;0;0;3404,88252;259,900218;0;0;0;0;0;0;0;0;4583,661688
Odemira;0;0;0;3246,201068;0;155,592;210,68475;0;0;8505,123606;383,942781;0;0;0;0;0;0;1,624;0;12503,16821
Odivelas;0;2,343;259,292;4912,52366;166,889272;82,653;199,43175;0;0;13055,34521;659,183535;0;0;0;0;0;0;36,793;0;19374,45443
Oeiras;0;3,287;604,474;27453,47374;504,599304;574,93425;1465,41375;0;0;60651,60717;4898,392677;0;0;0;0;0;0;58,483;0;96214,66489
Oleiros;0;0;0;348,068336;0;70,40325;9,37875;0;0;5318,085402;14,224815;0;0;0;0;21,891158;0;0;0;5782,051711
Olhão;0;0;77,06;5769,931376;94,9773;105,417;339,039;0;0;12123,21095;890,568837;0;0;0;0;0;0;0;0;19400,20446
Oliveira de Azeméis;0;0;0,11;4922,759292;39,61782;336,696;476,12325;0;0;15480,10742;603,790038;0;0;0;0;0;0;15,964;0;21875,16782
Oliveira de Frades;0;0;19,744;659,70608;68,500344;90,6225;17,1615;0;0;5489,536482;76,621491;0;0;13,682;38,21496;694,660946;0;0;0;7168,450303
Oliveira do Bairro;0;0;0,385;1558,709328;59,875156;165,849;60,35625;0;0;5560,814565;245,657826;0;0;0;0;0;0;5,09;0;7656,737125
Oliveira do Hospital;0;0;0,055;2225,52066;0;229,596;109,98;0;0;6533,966007;203,011002;0;0;0;377,83368;4,211684;0;0;0;9684,174033
Ourique;0;0;0;703,268104;0;8,99625;57,62025;0;0;2494,397268;134,141805;0;0;0;0;0;0;0;0;3398,423677
Ovar;0;0;648,107;4945,732616;0;167,961;402,5625;0;0;19675,8905;913,428981;21,155175;0;279,94;254,94336;29,384116;0;4,447;0;27343,55224
