geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-8.72314453125 39.18117319829111, -8.72314453125 39.18117319829111)",2020-04-13 0000,731697,Vila Chã de Ourique,731697,Vila Chã de Ourique,0,13,PT,LEVEL5,143,144.4,-1.4,-0.96286107290234,0,-0.14692141805639,39.173668365353,-8.751025072286,39.173668365353,-8.751025072286,0331100331203,0331100331203
"LINESTRING (-8.72314453125 39.249268781922765, -8.67919921875 39.249268781922765)",2020-04-13 0000,730735,São Nicolau,730736,São Salvador,3.7841117617839,13,PT,LEVEL5,17,15,2,12.5,0,0.38138503569824,39.233376832703,-8.71611080359,39.262799804702,-8.691762488342,0331100331023,0331100331032
"LINESTRING (-8.72314453125 39.249268781922765, -8.72314453125 39.249268781922765)",2020-04-13 0000,730735,São Nicolau,730735,São Nicolau,0,13,PT,LEVEL5,205,194.8,10.2,5.2093973442288,0,0.61263747463298,39.233376832703,-8.71611080359,39.233376832703,-8.71611080359,0331100331023,0331100331023
"LINESTRING (-8.72314453125 39.28329180414046, -8.72314453125 39.28329180414046)",2020-04-13 0000,730742,Várzea,730742,Várzea,0,13,PT,LEVEL5,47,50,-3,-5.8823529411765,0,-0.57207755354736,39.275321383681,-8.7368962922043,39.275321383681,-8.7368962922043,0331100331021,0331100331021
"LINESTRING (-8.72314453125 39.31729830797876, -8.72314453125 39.31729830797876)",2020-04-13 0000,730733,Romeira,730733,Romeira,0,13,PT,LEVEL5,50,43.4,6.6,14.864864864865,0,1.5643500283619,39.312309319245,-8.7238234909808,39.312309319245,-8.7238234909808,0331100331003,0331100331003
"LINESTRING (-8.72314453125 39.35128828948367, -8.72314453125 39.35128828948367)",2020-04-13 0000,730725,Azoia de Cima,730725,Azoia de Cima,0,13,PT,LEVEL5,29,25.2,3.8,14.503816793893,0,1.9755259306581,39.351778925878,-8.7364454280551,39.351778925878,-8.7364454280551,0331100331001,0331100331001
"LINESTRING (-8.72314453125 39.385261744726435, -8.72314453125 39.385261744726435)",2020-04-13 0000,730723,Arneiro das Milhariças,730723,Arneiro das Milhariças,0,13,PT,LEVEL5,31,30.6,0.4,1.2658227848101,0,0.077266740928625,39.394210099203,-8.7205950918092,39.394210099203,-8.7205950918092,0331100313223,0331100313223
"LINESTRING (-8.72314453125 39.41921866980341, -8.72314453125 39.41921866980341)",2020-04-13 0000,731674,Espinheiro,731674,Espinheiro,0,13,PT,LEVEL5,27,20.4,6.6,30.841121495327,0,1.3121505746044,39.415874269129,-8.7392766114842,39.415874269129,-8.7392766114842,0331100313221,0331100313221
"LINESTRING (-8.72314453125 39.453159060836114, -8.72314453125 39.453159060836114)",2020-04-13 0000,731675,Louriceira,731675,Louriceira,0,13,PT,LEVEL5,137,121.8,15.2,12.377850162866,0,1.3170172871054,39.447559052585,-8.706576148586,39.447559052585,-8.706576148586,0331100313203,0331100313203
"LINESTRING (-6.61376953125 38.90813093681449, -6.61376953125 38.90813093681449)",2020-04-13 0000,881799,Montijo,881799,Montijo,0,13,ES,LEVEL4,934,909,25,2.7472527472527,0,0.89457033370564,38.949516662725,-6.5773295710902,38.949516662725,-6.5773295710902,0331101323203,0331101323203
