Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Monchique;0;0;0;378,428642;67,97687;1237,99956;0;0;0,779;0;1685,184072
Mondim de Basto;0;0;0,55;251,786936;48,246952;1706,99424;0;0;1,948;0;2009,526128
Monforte;0;0;0;120,928092;3,424668;464,7342;0;0;0;0;589,08696
Montalegre;0;0;1,835;435,338744;82,749992;2646,72156;0;0;2,85;0;3169,495296
Montemor-o-Novo;0;0;28,445;8253,00546;173,9855;12722,54592;0;19,422325;22,882;0;21220,28621
Montemor-o-Velho;0;0;120,843;1019,946866;171,0449;5101,24944;0;0;11,252;1,232;6425,568206
Montijo;0;0;310,208;5856,459572;309,764312;25803,42744;0;0;21,804;0;32301,66332
Mora;0;0;19,701;316,067518;61,521122;1615,57116;0;0;0,894;0;2013,7548
Mortágua;0;0;9,995;523,493564;84,513598;3016,28712;0;0;2,66;0;3636,949282
Moura;0;0;0;584,620058;28,94229;2857,638;0;0;2,7;0;3473,900348
Mourão;0;0;0;172,500564;1,934764;791,64288;0;0;0;0;966,078208
Murça;0;0;0;437,344738;103,393758;2637,93516;0;0;2,104;0;3180,777656
Murtosa;0;0;2,431;427,807874;33,08175;846,90732;0;0;0,203;0;1310,430944
Nazaré;0;0;0;1197,261368;55,679884;3298,1088;0;0;2,713;0;4553,763052
Nelas;0;0;0;947,518472;73,84676;4225,87032;0;0;0,067;0;5247,302552
Nisa;0;0;0;201,099966;14,447394;822,45744;0;0;0,096;0;1038,1008
Nordeste;0;0;0;328,701028;6,43162;725,93808;0;0;4,888;0;1065,958728
Óbidos;0;0;58,218;605,417046;38,24665;2702,17668;0;0;1,563;0;3405,621376
Odemira;0;0;0;2144,3397;152,448244;7942,35624;0;0;7,42;0;10246,56418
Odivelas;0;2,17;205,404;7159,847646;218,787426;23963,77032;0;0;441,358;0;31991,33739
Oeiras;0;0;520,986;15133,98189;668,244564;45664,96788;0;0;1048,629;0;63036,80934
Oleiros;0;0;0;272,244494;39,881322;2887,3404;0;0;60,071;0;3259,537216
Olhão;0;0;86,6;3736,779648;180,270844;9666,40668;0;0;21,274;0;13691,33117
Oliveira de Azeméis;0;0;15,05;3843,060776;426,453352;18092,85828;0;0;38,056;0;22415,47841
Oliveira de Frades;0;0;37,804;433,008986;78,967928;3380,88492;0;0;11,352;0;3942,017834
Oliveira do Bairro;0;0;47,289;1820,224334;223,009072;6702,73044;0;0;159,379;0;8952,631846
