Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Grand Total
Ponte de Lima;0;0;126,445;2478,277648;223,65525;12600,43744;0;328,487;15757,30234
Ponte de Sôr;0;0;1,87;862,814648;155,114388;4579,62288;0;10,838;5610,259916
Portalegre;0;0;58,435;1986,505496;80,196194;10235,92824;0;30,99;12392,05493
Portel;0;0;0;195,518394;48,945156;1112,33556;0;0,651;1357,45011
Portimão;0;0;203,185;9521,121162;820,237392;25989,03432;0;73,794;36607,37187
Porto;0;4,988;769,133;26244,43741;1583,261264;85519,67472;2564,18568;1593,057;118278,7371
Porto de Mós;0;0;227,952;1271,73977;230,129848;15714,92496;1,67748;141,197;17587,62106
Porto Moniz;0;0;0;150,94937;48,698598;384,82752;0;0;584,475488
Porto Santo;0;0;0;676,7712;0;992,96064;0;2,963;1672,69484
Póvoa de Lanhoso;0;0;0,484;345,81576;85,41689;2109,73308;0;3,568;2545,01773
Póvoa de Varzim;0;0;433,444;5241,564596;405,29008;23323,22306;0;29,425;29432,94673
Povoação;0;0;0;1044,654386;0;1811,03916;0;0;2855,693546
Proença-a-Nova;0;0;0;413,657;43,602312;2508,17112;0;0,131;2965,561432
Redondo;0;0;0;374,732958;0;1651,8558;0;11,762;2038,350758
Reguengos de Monsaraz;0;0;0;527,625658;0;2001,53592;1,68;52,028;2582,869578
Resende;0;0;0,825;600,724706;116,807418;2567,7558;0;2,447;3288,559924
Ribeira Brava;0;0;0;1352,226456;624,977028;7353,40956;0;80,436;9411,049044
Ribeira de Pena;0;0;0;103,01887;69,246606;1495,29156;0;1,414;1668,971036
Ribeira Grande;0;0;0;2395,62607;72,179666;4853,91984;0;16,05;7337,775576
Rio Maior;0;0;70,106;1070,339166;153,61619;9221,63088;0;21,865;10537,55724
Sabrosa;0;0;0;165,692568;14,249846;1039,5926;0;1,116;1220,651014
Sabugal;0;0;10,187;589,228846;69,31145;2855,64468;0;4,313;3528,684976
Salvaterra de Magos;0;0;64,461;1098,554378;106,186574;6575,43992;0;30,435;7875,076872
Santa Comba Dão;0;0;85,223;929,793512;53,306292;5704,26276;0;9,94;6782,525564
Santa Cruz;0;0;0;4248,07462;1071,161052;12465,24552;0;11,102;17795,58319
Santa Cruz da Graciosa;0;0;0;583,770364;0;997,0086;0;0,149;1580,927964
Santa Cruz das Flores;0;0;0;4,277564;0;7,26684;0;0;11,544404
Santa Marta de Penaguião;0;0;0;211,932632;0;851,45508;0;0;1063,387712
Santana;0;0;0;793,15839;355,615052;3117,47856;0;0;4266,252002
Santarém;0;0;533,938;5761,905564;743,31582;39395,81132;0;493,877;46928,8477
Santiago do Cacém;0;0;1,254;2549,51841;284,74433;15131,89984;130,89804;25,21;18123,52462
Santo Tirso;0;0;282,578;7786,750104;640,784638;30239,56224;0;46,916;38996,59098
São Brás de Alportel;0;0;0;794,170712;9,798984;2574,04476;0;1,735;3379,749456
São João da Madeira;0;0;294,72;1815,053062;218,751988;9232,84992;0;35,97;11597,34497
São João da Pesqueira;0;0;0;190,973016;131,438788;1426,70808;0;1,945;1751,064884
São Pedro do Sul;0;0;0;636,000808;48,767212;2578,88232;0;59,43;3323,08034
São Roque do Pico;0;0;0;0;0;4,14708;0;0,036;4,18308
São Vicente;0;0;0;713,005166;221,942916;2697,81792;0;0,075;3632,841002
Sardoal;0;0;0;252,917872;0;1044,90372;0;1,021;1298,842592
Sátão;0;0;0;457,48077;43,727476;2751,21168;0;0;3252,419926
Seia;0;0;58,644;1679,541416;181,95528;5645,49384;0;1,389;7567,023536
Seixal;0;0;636,648;12207,96176;660,246132;38639,14756;0;73,25;52217,25345
Sernancelhe;0;0;0;306,023374;45,26639;1619,48136;0;0,266;1971,037124
Serpa;0;0;0;396,627312;23,361936;2159,71812;72,22908;0,797;2652,733448
Sertã;0;0;49,292;540,45089;47,71689;8894,17788;0;318,834;9850,47166
Sesimbra;0;0;0,055;4871,079362;248,838096;15410,79044;0;38,856;20569,6189
Setúbal;0;0;259,967;11785,17521;711,816716;54982,05856;750,24852;134,373;68623,63901
Sever do Vouga;0;0;15,809;648,726076;88,399714;4024,97088;0;8,37;4786,27567
Silves;0;0;130,459;4651,495008;397,172516;19092,70596;0;18,561;24290,39348
Sines;0;0;91,114;3975,68764;329,650308;22175,76692;15,54;39,75;26627,50887
Sintra;0;0;1198,652;29411,31707;1209,567554;100131,9268;0;250,471;132201,9345
Sobral de Monte Agraço;0;0;11,264;432,074994;104,12363;2621,99532;0;3,315;3172,772944
Soure;0;0;76,55;616,30417;112,966542;3116,8998;0;2,919;3925,639512
Sousel;0;0;0;136,06294;0;771,16788;34,356;0;941,58682
Tábua;0;0;0;653,756354;52,209222;2643,40356;0;9,334;3358,703136
Tabuaço;0;0;0;54,115586;29,401476;688,67988;0;0;772,196942
